sa3_name, dwelling, area_sqkm, state_name, sa3_code_2016, population
"Moreland - North",30860,30.3779,"Victoria","21003",75560
"Ormeau - Oxenford",43256,519.861600000001,"Queensland","30907",120895
"Outback - South",10490,625222.9542,"Queensland","31503",17608
"Buderim",21578,76.3839,"Queensland","31601",54480
"Caloundra",37091,113.1062,"Queensland","31602",80447
"Maroochy",29814,70.3492999999999,"Queensland","31603",56290
"Noosa",21495,92.1032000000001,"Queensland","31605",41136
"Sunshine Coast Hinterland",20380,1568.0164,"Queensland","31606",49583
"Nambour",17306,345.8864,"Queensland","31607",42619
"Noosa Hinterland",9333,820.065999999999,"Queensland","31608",21811
"Charters Towers - Ayr - Ingham",20349,76209.8053,"Queensland","31801",42174
"Townsville",80174,3826.29240000001,"Queensland","31802",186768
"Bundaberg",41428,3786.0126,"Queensland","31901",87853
"Burnett",23706,30736.8312,"Queensland","31902",49017
"Gympie - Cooloola",23350,6975.22779999999,"Queensland","31903",49484
"Hervey Bay",26916,251.5569,"Queensland","31904",56632
"Sunnybank",17088,22.16,"Queensland","30306",49688
"Centenary",11898,16.9755,"Queensland","30401",32488
"Kenmore - Brookfield - Moggill",16114,134.6112,"Queensland","30402",45401
"Sherwood - Indooroopilly",20856,21.2964,"Queensland","30403",51042
"The Gap - Enoggera",19336,96.7679999999999,"Queensland","30404",49987
"Brisbane Inner",35961,13.5589,"Queensland","30501",67562
"Brisbane Inner - East",17946,15.5989,"Queensland","30502",40585
"Brisbane Inner - North",41439,30.9461000000001,"Queensland","30503",86202
"Brisbane Inner - West",24226,21.6355,"Queensland","30504",55904
"Cairns - North",23294,160.3157,"Queensland","30601",52717
"Cairns - South",43765,633.4659,"Queensland","30602",100714
"Innisfail - Cassowary Coast",16747,5995.1825,"Queensland","30603",34669
"Port Douglas - Daintree",6528,2421.0913,"Queensland","30604",11583
"Tablelands (East) - Kuranda",19348,12127.9129,"Queensland","30605",40434
"Darling Downs (West) - Maranoa",21977,141252.7846,"Queensland","30701",44048
"Darling Downs - East",18058,16653.3007,"Queensland","30702",42111
"Granite Belt",18545,8433.9715,"Queensland","30703",40136
"Central Highlands (Qld)",14124,60225.3937,"Queensland","30801",28932
"Rockhampton",51435,18328.135,"Queensland","30803",116112
"Biloela",7002,28550.1865,"Queensland","30804",14260
"Gladstone",29003,10484.2862,"Queensland","30805",61603
"Broadbeach - Burleigh",30981,33.6726,"Queensland","30901",61653
"Coolangatta",25747,34.9724999999999,"Queensland","30902",53148
"Gold Coast - North",31215,40.6693,"Queensland","30903",65842
"Gold Coast Hinterland",7688,827.959200000001,"Queensland","30904",18503
"Robina",19760,33.6325,"Queensland","30908",49485
"Southport",26073,34.9594,"Queensland","30909",58881
"Surfers Paradise",23568,19.801,"Queensland","30910",40806
"Forest Lake - Oxley",25134,63.7142,"Queensland","31001",72191
"Ipswich Hinterland",25149,6135.78329999999,"Queensland","31002",62787
"Ipswich Inner",41425,378.0564,"Queensland","31003",104202
"Springfield - Redbank",28979,103.593,"Queensland","31004",83881
"Beaudesert",5819,1628.0131,"Queensland","31101",13909
"Beenleigh",16435,60.1506,"Queensland","31102",40876
"Browns Plains",27208,169.579,"Queensland","31103",79848
"Jimboomba",15007,582.4324,"Queensland","31104",45660
"Loganlea - Carbrook",22131,88.7274999999999,"Queensland","31105",59735
